                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.81981,                 2.8247,                 1.2705,                0.40571,                0.09091,                0.19397,                0.09835,                0.77357,                 2.2518,                  1.186,              1.667e-05,              1.667e-05,              1.667e-05
                      1,                 0.7941,                  2.893,                 1.3343,                0.39229,                0.09091,                 0.2278,                0.11564,                0.77369,                 2.2642,                 1.1853,              4.836e-05,              4.836e-05,              4.836e-05
                      2,                0.68241,                 2.9033,                 1.1454,                0.86667,                  0.625,                  0.798,                0.66407,                0.80027,                   2.16,                 1.1211,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      3,                0.78753,                  2.367,                 1.2664,                      1,                0.82955,                0.91475,                0.80126,                0.79605,                 2.4506,                 1.0875,             0.00010514,             0.00010514,             0.00010514
                      4,                 0.8732,                 1.4605,                 1.4045,                      1,                  0.875,                  0.935,                0.82337,                0.79212,                 1.9393,                 1.0507,             0.00013023,             0.00013023,             0.00013023
                      5,                0.74801,                 1.3256,                 1.2172,                0.92308,                0.99069,                0.98399,                0.76228,                0.83324,                 3.8449,                  1.045,             0.00015311,             0.00015311,             0.00015311
                      6,                 1.0059,                 1.5008,                 1.3544,                      1,                0.82955,                0.91475,                 0.7605,                0.85833,                 3.6102,                 1.0469,              0.0001738,              0.0001738,              0.0001738
                      7,                0.69954,                  1.557,                 1.1623,                0.84714,                      1,                0.99125,                 0.7804,                0.91244,                 1.7131,                 1.1269,             0.00019229,             0.00019229,             0.00019229
                      8,                0.99487,                 1.2917,                 1.2511,                0.89454,                  0.875,                 0.9158,                0.70659,                0.91772,                 1.9581,                 1.1178,             0.00020858,             0.00020858,             0.00020858
                      9,                0.86815,                 1.2609,                 1.1971,                0.82308,                      1,                 0.9625,                0.75897,                0.91623,                   2.07,                 1.1366,             0.00022266,             0.00022266,             0.00022266
                     10,                 0.8815,                 1.1799,                 1.1475,                0.89286,                  0.875,                  0.935,                  0.768,                0.92932,                 2.1273,                 1.1435,             0.00023455,             0.00023455,             0.00023455
                     11,                0.77637,                 1.0363,                 1.1715,                0.83364,                      1,                  0.995,                 0.7704,                0.94572,                 2.4056,                   1.15,             0.00024423,             0.00024423,             0.00024423
                     12,                0.74714,                0.96274,                 1.1242,                 0.9081,                      1,                  0.995,                0.80082,                0.95103,                 1.7326,                 1.1615,             0.00025172,             0.00025172,             0.00025172
                     13,                0.94005,                 1.0702,                 1.2239,                0.85833,                      1,                0.94125,                0.71925,                 1.0354,                 1.9928,                 1.2481,               0.000257,               0.000257,               0.000257
                     14,                0.80421,                 1.0475,                 1.1563,                      1,                      1,                  0.995,                0.79498,                0.90227,                  1.414,                  1.198,             0.00026009,             0.00026009,             0.00026009
                     15,                0.83242,                0.98307,                 1.2302,                0.81808,                      1,                  0.995,                0.75953,                 0.9115,                 1.8539,                 1.2197,             0.00026097,             0.00026097,             0.00026097
                     16,                0.76987,                 0.8669,                 1.1514,                0.74045,                      1,                  0.945,                0.62784,                 1.0128,                  2.799,                  1.347,             0.00025965,             0.00025965,             0.00025965
                     17,                0.88596,                0.90256,                 1.2817,                0.83333,                      1,                  0.995,                0.67694,                 1.1416,                 2.1783,                 1.4882,             0.00025613,             0.00025613,             0.00025613
                     18,                0.77276,                 1.0122,                 1.2652,                0.90425,                      1,                  0.995,                 0.7417,                 1.2229,                 1.9338,                  1.561,             0.00025042,             0.00025042,             0.00025042
                     19,                0.79703,                0.90393,                 1.1852,                0.95685,                      1,                0.99125,                0.69116,                 1.1797,                 1.7099,                 1.4942,              0.0002425,              0.0002425,              0.0002425
                     20,                0.77418,                 1.0236,                 1.1396,                0.81575,                0.94902,                0.93004,                0.70598,                 1.0753,                 1.4569,                 1.3276,             0.00023238,             0.00023238,             0.00023238
                     21,                0.57999,                0.87366,                 0.9948,                0.81667,                0.95455,                0.92712,                0.69749,                 1.0492,                 1.2406,                 1.2779,             0.00022006,             0.00022006,             0.00022006
                     22,                0.63577,                0.90495,                 1.0894,                0.95455,                0.95455,                0.93568,                0.68274,                 1.0606,                 1.1865,                 1.2891,             0.00020554,             0.00020554,             0.00020554
                     23,                0.68054,                 0.8279,                 1.0976,                0.95455,                0.95455,                0.93136,                0.68685,                 1.0826,                 1.3764,                 1.2975,             0.00018882,             0.00018882,             0.00018882
                     24,                0.56378,                0.75266,                0.97528,                0.95833,                      1,                0.95354,                0.71996,                 1.1216,                 1.1501,                 1.4744,              0.0001699,              0.0001699,              0.0001699
                     25,                0.71987,                0.85308,                  1.195,                0.95833,                      1,                0.96125,                0.71669,                 1.1562,                0.96531,                 1.5342,             0.00014878,             0.00014878,             0.00014878
                     26,                0.49955,                0.77097,                 1.0152,                      1,                      1,                  0.995,                0.72485,                 1.1477,                0.85232,                 1.4776,             0.00012546,             0.00012546,             0.00012546
                     27,                 0.6888,                0.74081,                 1.1033,                      1,                      1,                  0.995,                0.72485,                 1.1477,                0.85232,                 1.4776,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     28,                0.53302,                 0.7185,                0.98623,                      1,                      1,                  0.995,                0.73855,                 1.1589,                0.79699,                 1.4632,             7.2214e-05,             7.2214e-05,             7.2214e-05
                     29,                0.56978,                0.74517,                 1.0388,                      1,                      1,                  0.995,                0.73697,                 1.1621,                0.75951,                 1.4589,             4.2292e-05,             4.2292e-05,             4.2292e-05
